annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20200006;LUNDI   ;13/01/2020;14/03/2020;16;11;25;32;14;9;11-14-16-25-32+9;1;6000000;2;76934,6;36;1043,2;305;444,1;1574;51,4;15662;18,6;22366;10,1;211965;4,2;289132;2,2;10;20000;T 5231 2182,H 7639 7297,F 3845 9682,E 2616 7440,I 6903 1921,H 4746 3298,H 2571 3094,B 0988 0238,C 3804 2636,L 4392 4482;3;8;15;35;44;3-8-15-35-44;0;100000;179;546,5;8377;30;120194;3;4 484 021;eur;
20200005;SAMEDI  ;11/01/2020;12/03/2020;48;14;2;23;13;3;2-13-14-23-48+3;0;5000000;3;84057,8;54;1139,8;630;352,3;3293;40,2;27585;17,3;44505;8,3;378530;3,8;537144;2,2;10;20000;H 7229 8142,V 8541 9595,R 0951 0617,C 4845 4353,Q 0015 6593,B 9143 1526,M 9726 6834,G 8322 2273,K 7170 7578,V 8544 9589;3;13;14;22;33;3-13-14-22-33;4;38058;533;230,5;20046;15,7;225158;3;4 040 219;eur;
20200004;MERCREDI;08/01/2020;09/03/2020;17;44;29;16;37;8;16-17-29-37-44+8;0;4000000;2;90126,9;50;879,9;531;298,8;2038;46,5;16643;20,5;27212;9,7;225511;4,6;375724;2,2;10;20000;E 0618 1337,A 7986 4546,K 4245 6660,O 9720 5161,P 3721 8303,A 2760 6436,E 7418 3971,C 5459 9609,T 4271 1431,F 0080 1218;6;15;18;24;29;6-15-18-24-29;3;37262;477;197,5;14362;16,8;160625;3;8 527 439;eur;
20200003;LUNDI   ;06/01/2020;07/03/2020;49;10;19;26;30;3;10-19-26-30-49+3;0;3000000;4;35531,3;55;630,7;454;275,5;2041;36,6;17176;15,6;25102;8,3;212580;3,8;305707;2,2;10;20000;S 3831 7439,E 3848 7213,B 4097 3053,V 2567 2093,I 1177 9340,G 8680 8246,C 9118 1339,N 9706 0429,N 2934 4191,M 5840 7396;5;15;17;42;44;5-15-17-42-44;0;100000;179;499,9;8542;26,9;121941;3;7 435 332;eur;
20200002;SAMEDI  ;04/01/2020;05/03/2020;22;9;43;31;34;5;9-22-31-34-43+5;0;2000000;1;229637;75;747,3;576;350,9;2845;42,4;21053;20,6;38430;8,8;294523;4,5;561000;2,2;10;20000;F 6010 5755,L 1601 3164,U 7705 3358,A 6469 9302,M 3314 0399,C 0075 4254,V 8194 8281,M 0630 7675,G 1397 7123,N 1094 6804;13;25;26;39;40;13-25-26-39-40;0;145292;270;575,5;10987;36,3;169544;3;4 071 181;eur;
20200001;MERCREDI;01/01/2020;02/03/2020;11;7;32;24;4;10;4-7-11-24-32+10;1;5000000;3;66436,8;57;853,4;740;237,1;1891;55,4;27115;13,9;24135;12,1;305859;3,8;280267;2,2;10;20000;R 3975 4035,P 1081 1726,I 5486 7321,S 8626 2705,N 4263 6901,C 3011 6689,G 9403 8719,D 3878 7183,A 6638 6645,R 4269 1766;5;21;29;40;44;5-21-29-40-44;0;110194;175;668,6;8535;35,2;129591;3;3 933 486;eur;
20199156;LUNDI   ;30/12/2019;29/02/2020;12;38;34;32;48;6;12-32-34-38-48+6;0;4000000;0;163035,1;22;9219,4;266;539,5;1314;65,2;12365;24,9;18534;12,9;176426;5,3;292561;2,2;10;20000;P 4550 0715,E 0872 8569,C 9202 6982,L 2502 9319,R 8131 8058,E 4192 1862,G 0640 3562,N 1040 9536,M 1113 6890,I 1065 5292;17;22;27;42;44;17-22-27-42-44;1;101812;212;463,5;9108;27,7;131448;3;8 648 604;eur;
20199155;SAMEDI  ;28/12/2019;27/02/2020;24;48;49;18;8;8;8-18-24-48-49+8;0;3000000;1;245585,5;75;799,2;505;428,1;3569;36,1;23696;19,6;42891;8,4;326608;4,3;501652;2,2;10;20000;B 9390 3279,T 0895 9455,O 8142 2453,C 8725 5324,G 0308 2543,F 4421 8581,D 5255 1307,U 1444 9643,G 2350 9606,L 7560 9212;10;18;42;44;45;10-18-42-44-45;1;146983;240;660,2;11398;35,7;170038;3;4 437 809;eur;
20199154;MERCREDI;25/12/2019;24/02/2020;36;40;45;24;15;9;15-24-36-40-45+9;0;2000000;2;74312,7;24;1511,4;221;592;1015;77;9971;28,2;17211;12,7;156487;5,5;284701;2,2;10;20000;G 8882 5131,O 5137 2701,J 0906 2033,N 6284 4710,M 9316 5158,M 9701 4502,R 0149 1413,H 2423 1048,J 3873 9899,A 0834 5571;12;23;27;32;44;12-23-27-32-44;0;100000;225;365,2;8704;24,2;111149;3;1 777 210;eur;
20199153;LUNDI   ;23/12/2019;22/02/2020;37;36;32;20;7;2;7-20-32-36-37+2;0;6000000;0;160754,3;31;6451,3;191;740,9;974;86,8;10302;29,5;16284;14,5;174621;5,3;253965;2,2;10;20000;U 7224 7873,V 8482 0951,O 5448 6020,A 9491 0220,T 0287 0183,S 5884 4452,H 0911 9231,R 5624 5894,V 8483 4502,H 1523 8516;4;5;35;40;48;4-5-35-40-48;0;100000;88;1293,9;5396;54,2;97355;3;4 658 492;eur;
20199152;SAMEDI  ;21/12/2019;20/02/2020;48;23;27;19;22;2;19-22-23-27-48+2;0;5000000;3;89443,7;49;1336,5;501;471,4;2301;61,3;25802;19,6;33802;11,6;367975;4,2;416591;2,2;10;20000;R 4619 4596,K 7140 5677,U 1462 9232,M 0489 0838,H 2877 1508,J 7862 8192,S 7961 5778,P 6130 4191,V 0762 5247,O 5020 7069;1;12;14;22;49;1-12-14-22-49;2;74872;477;261;17781;18;217169;3;3 067 001;eur;
20199151;MERCREDI;18/12/2019;17/02/2020;23;6;17;5;7;9;5-6-7-17-23+9;0;4000000;4;46482;85;533,8;849;192,7;3007;32,5;29181;12;34648;7,9;330853;3,2;336598;2,2;10;20000;T 9309 2114,K 6633 5761,M 2511 2749,M 1776 6412,R 4750 7424,L 0482 7609,V 8461 7948,P 8043 5356,R 4017 2210,J 3617 2364;6;23;28;36;44;6-23-28-36-44;1;111941;214;558,7;8742;35,1;130798;3;0 728 760;eur;
20199150;LUNDI   ;16/12/2019;15/02/2020;38;26;39;35;10;6;10-26-35-38-39+6;0;3000000;0;148425,1;15;12310,1;187;698,7;998;78,2;9616;29,2;16329;13,3;157618;5,4;271108;2,2;10;20000;I 5072 6279,C 8577 2862,D 4422 2926,N 6899 7606,T 8869 9078,J 6929 7943,B 8928 0388,M 2139 2825,K 8396 7609,I 1346 5320;1;6;31;40;49;1-6-31-40-49;0;100000;142;721,9;7178;36,7;109394;3;2 640 522;eur;
20199149;SAMEDI  ;14/12/2019;13/02/2020;3;48;17;4;38;9;3-4-17-38-48+9;0;2000000;0;245725,7;28;10917,9;383;564,8;2122;60,9;19696;23,6;33651;10,7;311657;4,5;475348;2,2;10;20000;N 0205 4309,U 7225 5690,B 0941 0520,P 1011 6169,U 5921 4416,T 2508 0583,K 5468 5709,H 2766 0591,V 8451 3845,K 3720 5635;6;8;12;36;44;6-8-12-36-44;1;144403;291;454,6;14631;23,2;194859;3;7 304 967;eur;
20199148;MERCREDI;11/12/2019;10/02/2020;25;33;48;1;40;8;1-25-33-40-48+8;0;7000000;2;92095;35;1284,4;275;589,6;1596;60,7;13222;26,3;23631;11,4;205217;5,2;372070;2,2;10;20000;F 2618 9801,F 8996 7712,Q 9621 1374,F 7844 1766,R 7654 0717,I 8939 2399,E 4716 0341,J 2855 5727,B 4898 2537,P 6689 1139;9;15;40;48;49;9-15-40-48-49;0;114488;159;808,9;8027;41,2;126254;3;1 617 151;eur;
20199147;LUNDI   ;09/12/2019;08/02/2020;1;34;15;24;25;8;1-15-24-25-34+8;0;6000000;1;151159;22;1677;249;534,4;1376;57,7;12880;22,2;21656;10,2;200160;4,4;299037;2,2;10;20000;A 5978 2810,E 3581 6118,R 4795 0266,K 8124 7820,G 1130 4320,B 5691 7286,V 8434 3870,S 3497 2472,B 1405 5825,Q 5729 6592;3;5;16;42;44;3-5-16-42-44;0;100000;126;785,6;8124;31,3;124872;3;3 221 581;eur;
20199146;SAMEDI  ;07/12/2019;06/02/2020;40;29;44;38;10;8;10-29-38-40-44+8;0;5000000;1;258282,3;39;1616,4;418;543,9;2362;57,5;19790;24,7;35122;10,8;303495;4,9;531153;2,2;10;20000;F 7614 4654,N 2548 6905,F 1677 0941,K 2929 0557,C 5086 2270,O 2527 0665,C 4507 1701,J 4596 5215,O 9153 5328,M 2562 5000;2;5;8;24;48;2-5-8-24-48;2;80058;460;312,8;17697;20,9;219379;3;3 870 335;eur;
20199145;MERCREDI;04/12/2019;03/02/2020;8;30;26;35;40;2;8-26-30-35-40+2;0;4000000;2;98617,9;22;2188,2;262;662,7;1307;79,3;13928;26,8;20466;14,1;218262;5,2;314156;2,2;10;20000;V 6491 6500,N 6510 6671,L 0533 4009,I 9712 0630,C 5528 6195,H 5854 5133,Q 0215 0265,C 4853 1070,H 3910 6965,B 2708 3841;24;29;30;36;44;24-29-30-36-44;0;118395;146;938,5;7775;45,3;125790;3;0 564 007;eur;
20199144;LUNDI   ;02/12/2019;01/02/2020;39;28;14;11;42;9;11-14-28-39-42+9;0;3000000;4;37439,8;37;987,9;366;360,2;1505;52,3;14524;19,5;20988;10,5;196844;4,4;278887;2,2;10;20000;R 1400 9237,G 3353 2856,S 7039 5548,D 2392 6867,I 0885 2560,I 3814 7145,V 7186 1269,R 8638 9463,B 7991 2450,P 3561 5327;5;12;14;40;45;5-12-14-40-45;0;100000;162;591,9;8354;29,5;125536;3;7 711 244;eur;
20199143;SAMEDI  ;30/11/2019;30/01/2020;7;25;17;48;16;3;7-16-17-25-48+3;0;2000000;1;245650,4;63;951,7;555;389,6;3209;40,2;26243;17,7;44132;8,1;363547;3,9;533860;2,2;10;20000;V 2189 4145,S 9122 9381,C 2007 1574,A 1035 7702,U 7108 9136,V 1876 2867,P 9662 4196,F 2787 6674,V 8395 9467,T 5876 3331;4;24;25;39;40;4-24-25-39-40;1;155898;183;985;9525;48,6;165843;3;1 944 488;eur;
20199142;MERCREDI;27/11/2019;27/01/2020;44;2;15;29;18;4;2-15-18-29-44+4;1;21000000;3;75409,8;54;1022,5;530;375,7;2526;47,1;22295;19,2;33467;9,9;306209;4,3;424025;2,2;10;20000;T 2223 3152,J 6737 3878,N 1881 7010,S 6326 7209,N 5283 0359,V 8386 4588,C 8506 1864,I 9013 7767,N 5498 3013,A 0548 4481;5;11;25;27;32;5-11-25-27-32;1;138089;370;322,1;14966;20,4;195044;3;2 205 073;eur;
20199141;LUNDI   ;25/11/2019;25/01/2020;44;41;35;33;38;8;33-35-38-41-44+8;0;20000000;4;44853,3;54;810,9;391;403,9;1639;57,5;13380;25,3;22980;11,4;193100;5,4;374833;2,2;10;20000;T 0371 1044,U 7807 5774,F 6666 0008,J 4505 1864,P 7365 6368,E 2098 6069,R 5948 4360,J 5478 9953,B 4791 2375,A 7285 7588;4;14;41;45;47;4-14-41-45-47;1;116635;147;942;7676;46,3;119761;3;6 987 712;eur;
20199140;SAMEDI  ;23/11/2019;23/01/2020;4;27;28;9;22;4;4-9-22-27-28+4;0;19000000;1;300973,2;122;602,1;925;286,4;4747;33,3;36022;15,8;55924;7,9;471149;3,7;558405;2,2;10;20000;E 9500 8852,N 0257 0503,K 5230 2966,S 0397 7909,F 9410 6623,J 1996 7521,T 5576 6257,K 1397 2622,H 4829 9831,H 7636 0200;10;33;35;40;43;10-33-35-40-43;0;179429;249;870,9;11693;47,6;179665;3;8 446 129;eur;
20199139;MERCREDI;20/11/2019;20/01/2020;22;23;7;30;37;3;7-22-23-30-37+3;0;18000000;0;213460,1;62;4283,2;423;444,2;2758;40,7;21897;18,4;38809;8,1;310072;4;460002;2,2;10;20000;C 4695 6566,L 7998 3062,J 8575 5347,R 5991 9373,O 7178 6585,M 1019 8594,N 0580 9260,H 0728 8011,K 7855 6978,A 4923 4232;3;13;31;40;42;3-13-31-40-42;1;135732;287;484,7;11629;30,7;165587;3;5 802 885;eur;
20199138;LUNDI   ;18/11/2019;18/01/2020;31;44;6;15;12;7;6-12-15-31-44+7;0;17000000;4;39239,5;84;456;426;324,3;2975;27,7;18886;15,7;40629;5,6;252545;3,6;498163;2,2;10;20000;F 1392 5186,S 7429 1255,S 4514 3205,P 6819 2725,H 7801 0792,U 6049 2740,M 9607 6184,Q 8045 5438,A 6640 8051,N 9485 1221;20;22;36;37;40;20-22-36-37-40;1;116890;165;867,7;7175;51,3;114801;3;9 426 356;eur;
20199137;SAMEDI  ;16/11/2019;16/01/2020;10;49;30;12;29;9;10-12-29-30-49+9;0;16000000;2;150795,7;110;669,1;827;321;3752;42,2;34122;16,7;49711;8,9;444937;3,9;575305;2,2;10;20000;T 2619 1698,S 0976 3344,O 3726 3963,P 7746 6583,O 2502 2770,E 2942 6705,J 7411 3688,G 0482 7306,C 7705 2458,T 9252 9514;13;15;30;39;41;13-15-30-39-41;0;182992;256;766,9;13596;37,1;212788;3;9 633 224;eur;
20199136;MERCREDI;13/11/2019;13/01/2020;22;13;10;35;19;1;10-13-19-22-35+1;0;15000000;5;48356;59;1000,2;761;279,6;2393;53,1;29954;15,2;30908;11,5;373625;3,7;332196;2,2;10;20000;V 8279 1117,U 2372 6792,N 0307 0032,E 1215 2115,D 1635 5628,G 5443 9748,O 0032 5375,H 4347 4234,L 0657 8215,K 4165 2746;2;25;42;44;49;2-25-42-44-49;0;138968;183;852,3;10476;38,2;153432;3;1 795 683;eur;
20199135;LUNDI   ;11/11/2019;11/01/2020;28;14;27;13;25;5;13-14-25-27-28+5;0;14000000;2;73386,9;68;526,8;475;272;2730;28,2;18591;14,9;34776;6,2;248477;3,4;355975;2,2;10;20000;O 4417 0948,N 1467 4401,R 3100 4482,U 6521 1849,B 2916 6718,B 0891 8508,T 3250 8547,I 6508 5040,K 1541 3779,O 0607 8363;16;18;32;44;45;16-18-32-44-45;0;101105;125;927,6;7227;41,2;108678;3;2 631 237;eur;
20199134;SAMEDI  ;09/11/2019;09/01/2020;26;24;6;18;29;3;6-18-24-26-29+3;0;13000000;7;48403,9;124;666,9;1051;283,8;4728;37,7;40212;15,9;59737;8,3;502632;3,9;724869;2,2;10;20000;C 5221 3578,G 0161 1201,Q 2685 1172,I 9971 7195,E 3510 2870,A 2468 0343,S 3925 6578,H 9929 6078,Q 7126 0267,K 1844 8729;4;9;13;28;49;4-9-13-28-49;8;25632;792;205,4;25984;16,1;306666;3;6 591 030;eur;
20199133;MERCREDI;06/11/2019;06/01/2020;43;27;23;44;42;10;23-27-42-43-44+10;0;12000000;2;110269,4;24;2242,8;355;546,8;1595;72,7;16244;25,7;22317;14,5;254163;5;332168;2,2;10;20000;J 7082 8290,R 5866 8268,N 1055 4078,N 6693 3594,S 8607 3587,N 2358 3744,S 9705 9668,R 0957 4342,N 8209 1696,E 9115 4988;28;35;41;44;48;28-35-41-44-48;1;123089;198;771,1;8081;48,5;118604;3;7 453 556;eur;
20199132;LUNDI   ;04/11/2019;04/01/2020;16;9;42;1;39;7;1-9-16-39-42+7;0;11000000;0;134717,6;48;3491,6;283;419;2192;32,3;13497;18,8;32886;6;199162;3,9;455244;2,2;10;20000;H 3279 5540,P 0484 6795,C 6766 4037,K 9335 3638,P 1040 1836,U 4625 3601,B 1263 4704,C 8175 2588,R 1031 3103,U 1293 2229;6;18;25;41;43;6-18-25-41-43;2;50000;157;659,6;7131;37,3;108245;3;8 424 606;eur;
